id,name,ssn,dob,start_date,kyc_date,net_worth
375738,Paul Lucas,450-04-5652,1950-11-15,2021-01-26,2024-03-15,263321.12
319143,Sonya Mitchell,660-27-1790,1961-05-30,2021-07-08,2024-04-06,29428.15
300203,Eric Rodgers,141-36-5655,1993-03-03,2020-10-28,2024-01-05,363144.98
394315,Anthony Garcia,324-52-3731,1988-10-08,2021-04-18,2024-03-13,810080.03
318858,Heather Stevens,870-91-3315,1959-11-16,2023-10-07,2024-04-28,831303.87
306747,Miss Lisa Mason,181-59-9145,1947-05-15,2020-03-07,2024-05-17,440093.93
307910,Jasmine Mills,694-98-8155,2001-09-21,2023-05-17,2024-04-15,747137.78
345737,John Cox,749-53-4403,1959-02-20,2021-02-21,2024-02-10,882972.47
341874,Brandy Lucas,861-07-0590,2003-07-31,2022-01-10,2024-06-22,844310.16
358203,Jill Chavez,817-82-4192,1970-08-28,2024-03-15,2024-06-29,6962.56
321409,John Gordon,021-87-2645,2005-09-22,2024-04-07,2024-02-19,887997.93
345521,Jack Jackson,084-35-4417,1974-06-23,2020-04-19,2024-02-09,964930.31
328318,Christopher Russo,660-70-3027,1951-07-02,2020-12-15,2024-06-05,733144.94
300242,Miranda Yang,694-79-9636,1949-12-23,2023-12-16,2024-04-23,29648.14
370512,Lance Jennings,081-65-8074,1970-04-10,2020-09-11,2024-05-21,691462.51
317670,Rachael Gonzalez,085-25-5714,1946-03-18,2020-04-14,2024-05-01,642790.18
314148,Joseph Sawyer,194-03-0030,1964-08-02,2021-07-30,2024-02-27,408417.98
357286,Elizabeth Johnson,253-98-0044,1986-11-01,2021-06-28,2024-01-24,416409.44
393974,James Miller,026-19-5157,1944-12-24,2020-03-26,2024-03-05,85215.9
322997,Andrew Lyons,679-22-2718,1978-08-17,2021-04-29,2024-01-05,832056.12
303665,Jose Diaz,595-98-5125,1988-02-15,2021-07-21,2024-02-25,836065.08
376089,Dawn Johnson,764-36-8262,1982-10-10,2022-03-10,2024-01-01,551783.05
316879,Rodney Bradford,565-59-2207,2003-11-17,2024-04-06,2024-03-11,768832.93
389535,Mark Rivera,410-30-7390,2001-08-09,2022-04-24,2024-05-25,994869.39
359460,John Fischer,646-20-3961,1999-06-24,2021-09-19,2024-03-09,159201.25
363594,Tony Miller,638-66-3628,1992-10-17,2020-05-26,2024-01-26,378268.45
358119,Douglas Griffin,513-67-5889,1955-03-30,2020-05-02,2024-02-17,33918.99
346591,Jamie Cruz,327-90-9474,1939-09-18,2023-07-31,2024-03-03,425703.81
309332,Michael Miller,294-62-6463,2006-01-18,2023-02-09,2024-02-18,979192.48
389560,Jesus Kent,656-91-8371,1967-06-04,2020-09-19,2024-01-10,59641.25
348142,Charles Hughes,385-84-1631,2005-02-21,2022-06-06,2024-03-04,225076.68
361879,Andrew Patrick,351-88-4095,1942-06-29,2020-09-08,2024-05-03,145905.71
314058,Miguel Lopez,029-19-5509,1990-07-07,2022-07-01,2024-01-16,151482.8
376812,Derrick Blankenship,201-34-7312,1993-09-18,2021-06-16,2024-02-14,919131.27
372439,Daniel Thompson,894-90-2878,1976-04-24,2024-04-11,2024-05-11,113875.38
314353,Elizabeth Montgomery,814-13-3521,1969-11-30,2021-02-04,2024-02-03,602778.53
